"","ebird_spp_code","ebird_com_name","ebird_sci_name","total_counted","historic_cbc_com_name","lon_filter","lat_filter","prov_state_filter","bcr_filter","add_nocturnal","add_feeder","nb","ni","na","nt","min_detect_per_circ","min_non_zero_count","min_detect_ratio","min_individuals"
"35","balori","Baltimore Oriole","Icterus galbula",13058,"Baltimore Oriole","-50,-180","90,20","!ZZ","!ZZ",0,0,10000,10000,5000,1,3,3,3,27
"36","banswa","Bank Swallow","Riparia riparia",369,"Bank Swallow","-50,-180","90,20","!ZZ","!ZZ",0,0,20000,10000,10000,20,3,3,3,27
"37","bargol","Barrow's Goldeneye","Bucephala islandica",650090,"Barrows Goldeneye","-50,-180","90,20","!ZZ","!ZZ",0,0,10000,10000,5000,1,3,3,3,27
"38","barswa","Barn Swallow","Hirundo rustica",9522,"Barn Swallow,Barn Swallow (American)","-50,-180","90,20","!ZZ","!ZZ",0,0,20000,10000,10000,3,3,3,3,27
"39","batpig1","Band-tailed Pigeon","Patagioenas fasciata",624849,"Band-tailed Pigeon,Band-tailed Pigeon (Northern)","-50,-180","90,20","!ZZ","!ZZ",0,0,10000,10000,5000,1,3,3,3,27
"40","bawwar","Black-and-white Warbler","Mniotilta varia",43343,"Black-and-white Warbler","-50,-180","90,20","!ZZ","!ZZ",0,0,10000,10000,5000,1,3,3,3,27
"41","bbwduc","Black-bellied Whistling-Duck","Dendrocygna autumnalis",689359,"Black-bellied Whistling-Duck,Black-bellied Whistling-Duck (autumnalis)","-50,-180","90,20","!ZZ","!ZZ",0,0,20000,10000,10000,3,3,3,3,27
"42","bcnher","Black-crowned Night Heron","Nycticorax nycticorax",491174,"Black-crowned Night-Heron,Black-crowned Night-Heron (American)","-50,-180","90,20","!ZZ","!ZZ",0,0,5000,10000,5000,1,3,3,3,27
"43","bcrfin","Brown-capped Rosy-Finch","Leucosticte australis",38740,"Brown-capped Rosy-Finch","-50,-180","90,20","!ZZ","!ZZ",0,0,5000,10000,5000,1,3,3,3,27
"44","belkin1","Belted Kingfisher","Megaceryle alcyon",739174,"Belted Kingfisher","-50,-180","90,20","!ZZ","!ZZ",0,0,5000,10000,5000,1,3,3,3,27
"45","belvir","Bell's Vireo","Vireo bellii",166,"Bells Vireo","-50,-180","90,20","!ZZ","!ZZ",0,0,20000,10000,10000,10,3,3,3,9
"46","benthr","Bendire's Thrasher","Toxostoma bendirei",1983,"Bendires Thrasher","-50,-180","90,20","!ZZ","!ZZ",0,0,20000,10000,10000,5,3,3,3,27
"47","bewwre","Bewick's Wren","Thryomanes bewickii",438294,"Bewicks Wren,Bewicks Wren (spilurus Group)","-50,-180","90,20","!ZZ","!ZZ",0,0,10000,10000,5000,1,3,3,3,27
"48","bkbmag1","Black-billed Magpie","Pica hudsonia",2165371,"Black-billed Magpie","-50,-180","90,20","!ZZ","!ZZ",0,0,10000,10000,5000,1,3,3,3,27
"49","bkbplo","Black-bellied Plover","Pluvialis squatarola",1645870,"Black-bellied Plover","-50,-180","90,20","!ZZ","!ZZ",0,0,10000,10000,5000,1,3,3,3,27
"50","bkbwoo","Black-backed Woodpecker","Picoides arcticus",4364,"Black-backed Woodpecker","-50,-180","90,20","!ZZ","!ZZ",0,0,20000,10000,10000,3,3,3,3,27
"51","bkcchi","Black-capped Chickadee","Poecile atricapillus",15328459,"Black-capped Chickadee","-50,-180","90,20","!ZZ","!ZZ",0,0,5000,10000,5000,1,3,3,3,27
"52","bkcgna","Black-capped Gnatcatcher","Polioptila nigriceps",274,"Black-capped Gnatcatcher","-50,-180","90,20","!ZZ","!ZZ",0,0,20000,10000,10000,20,3,3,3,27
"53","bkchum","Black-chinned Hummingbird","Archilochus alexandri",1747,"Black-chinned Hummingbird","-50,-180","90,20","!ZZ","!ZZ",0,0,20000,10000,10000,5,3,3,3,27
"54","bkcspa","Black-chinned Sparrow","Spizella atrogularis",8595,"Black-chinned Sparrow","-50,-180","90,20","!ZZ","!ZZ",0,0,20000,10000,10000,20,3,3,3,27
"55","bkfalb","Black-footed Albatross","Phoebastria nigripes",209,"Black-footed Albatross","-50,-180","90,20","!ZZ","!ZZ",0,0,20000,10000,10000,10,3,3,3,27
