"","ebird_spp_code","ebird_com_name","ebird_sci_name","total_counted","historic_cbc_com_name","lon_filter","lat_filter","prov_state_filter","bcr_filter","add_nocturnal","add_feeder","nb","ni","na","nt","min_detect_per_circ","min_non_zero_count","min_detect_ratio","min_individuals"
"147","clcrob","Clay-colored Thrush","Turdus grayi",545,"Clay-colored Thrush","-50,-180","90,20","!ZZ","!ZZ",0,0,20000,10000,10000,10,3,3,3,27
"148","clcspa","Clay-colored Sparrow","Spizella pallida",8770,"Clay-colored Sparrow","-50,-180","90,20","!ZZ","!ZZ",0,0,30000,10000,10000,5,3,3,3,27
"149","cliswa","Cliff Swallow","Petrochelidon pyrrhonota",335,"Cliff Swallow","-50,-180","90,20","!ZZ","!ZZ",0,0,20000,10000,10000,20,3,3,3,27
"150","cogdov","Common Ground Dove","Columbina passerina",145970,"Common Ground Dove,Common Ground-Dove","-50,-180","90,20","!ZZ","!ZZ",0,0,10000,10000,5000,1,3,3,3,27
"151","comeid","Common Eider","Somateria mollissima",5858349,"Common Eider,Common Eider (Dressers),Common Eider (Northern)","-50,-180","90,20","!ZZ","!ZZ",0,0,20000,10000,5000,1,3,3,3,27
"152","comgal1","Common Gallinule","Gallinula galeata",693125,"Common Gallinule,Common Gallinule (American)","-50,-180","90,20","!ZZ","!ZZ",0,0,10000,10000,5000,1,3,3,3,27
"153","comgol","Common Goldeneye","Bucephala clangula",7102831,"Common Goldeneye","-50,-180","90,20","!ZZ","!ZZ",0,0,5000,10000,5000,1,3,3,3,27
"154","comgra","Common Grackle","Quiscalus quiscula",454688722,"Common Grackle,Common Grackle (Bronzed),Common Grackle (Purple)","-50,-180","90,20","!ZZ","!ZZ",0,0,5000,10000,5000,1,3,3,3,27
"155","comloo","Common Loon","Gavia immer",670840,"Common Loon","-50,-180","90,20","!ZZ","!ZZ",0,0,5000,10000,5000,1,3,3,3,27
"156","commer","Common Merganser","Mergus merganser",7795249,"Common Merganser,Common Merganser (Eurasian),Common Merganser (North American)","-50,-180","90,20","!ZZ","!ZZ",0,0,5000,10000,5000,1,3,3,3,27
"157","commur","Common Murre","Uria aalge",2311319,"Common Murre","-50,-180","90,20","!ZZ","!ZZ",0,0,20000,10000,5000,1,3,3,3,27
"158","commyn","Common Myna","Acridotheres tristis",1143,"Common Myna","-50,-180","90,20","!ZZ","!ZZ",0,0,20000,10000,10000,5,3,3,3,27
"159","comnig","Common Nighthawk","Chordeiles minor",182,"Common Nighthawk","-50,-180","90,20","!ZZ","!ZZ",0,0,20000,10000,10000,20,3,3,3,27
"160","compau","Common Pauraque","Nyctidromus albicollis",3616,"Common Pauraque","-50,-180","90,20","!ZZ","!ZZ",0,0,20000,10000,10000,5,3,3,3,27
"161","compea","Indian Peafowl","Pavo cristatus",1704,"Indian Peafowl,Indian Peafowl (Domestic type)","-50,-180","90,20","!ZZ","!ZZ",0,0,20000,10000,5000,1,3,3,3,27
"162","compoo","Common Poorwill","Phalaenoptilus nuttallii",278,"Common Poorwill","-50,-180","90,20","!ZZ","!ZZ",0,0,20000,10000,10000,3,3,3,3,9
"163","comrav","Common Raven","Corvus corax",3550768,"Common Raven","-50,-180","90,20","!ZZ","!ZZ",0,0,5000,10000,5000,1,3,3,3,27
"164","comter","Common Tern","Sterna hirundo",8834,"Common Tern","-50,-180","90,20","!ZZ","!ZZ",0,0,20000,10000,10000,3,3,3,3,27
"165","comyel","Common Yellowthroat","Geothlypis trichas",467592,"Common Yellowthroat,Common Yellowthroat (arizela Group),Common Yellowthroat (occidentalis Group),Common Yellowthroat (trichas Group)","-50,-180","90,20","!ZZ","!ZZ",0,0,5000,10000,5000,1,3,3,3,27
"166","coohaw","Cooper's Hawk","Astur cooperii",271710,"Coopers Hawk","-50,-180","90,20","!ZZ","!ZZ",0,0,5000,10000,5000,1,3,3,3,27
"167","coshum","Costa's Hummingbird","Calypte costae",13368,"Costas Hummingbird","-50,-180","90,20","!ZZ","!ZZ",0,0,20000,10000,10000,3,3,3,3,27
"168","cowscj1","California Scrub-Jay","Aphelocoma californica",10000,"California Scrub-Jay,Florida Scrub-Jay,Island Scrub-Jay,Western Scrub-Jay,Western Scrub-Jay (Coastal),Western Scrub-Jay (Woodhouses)","-50,-180","90,20","CA,OR,WA","!ZZ",0,0,10000,10000,10000,10,3,3,3,27
"169","creauk","Crested Auklet","Aethia cristatella",23349,"Crested Auklet","-50,-180","90,20","!ZZ","!ZZ",0,0,20000,10000,10000,10,3,3,3,27
"170","cremyn","Crested Myna","Acridotheres cristatellus",8600,"Crested Myna","-50,-180","90,20","!ZZ","!ZZ",0,0,20000,10000,10000,10,3,3,3,27
"171","crithr","Crissal Thrasher","Toxostoma crissale",19775,"Crissal Thrasher","-50,-180","90,20","!ZZ","!ZZ",0,0,20000,10000,10000,3,3,3,3,27
"172","cubthr","Curve-billed Thrasher","Toxostoma curvirostre",84549,"Curve-billed Thrasher","-50,-180","90,20","!ZZ","!ZZ",0,0,20000,10000,5000,1,3,3,3,27
"173","daejun","Dark-eyed Junco","Junco hyemalis",6476746,"Dark-eyed Junco,Dark-eyed Junco (Gray-headed x Red-backed),Dark-eyed Junco (Gray-headed),Dark-eyed Junco (Oregon x Gray-headed),Dark-eyed Junco (Oregon x Pink-sided),Dark-eyed Junco (Oregon),Dark-eyed Junco (Pink-sided x Gray-headed),Dark-eyed Junco (Pink-sided),Dark-eyed Junco (Red-backed),Dark-eyed Junco (Slate-colored),Dark-eyed Junco (Slate-colored/Cassiar),Dark-eyed Junco (White-winged),Dark-eyed Junco (cismontanus)","-50,-180","90,20","!ZZ","!ZZ",0,0,5000,10000,5000,1,3,3,3,27
"174","dickci","Dickcissel","Spiza americana",1586,"Dickcissel","-50,-180","90,20","!ZZ","!ZZ",0,0,20000,10000,20000,50,3,3,3,9
"175","doccor","Double-crested Cormorant","Nannopterum auritum",14553960,"Double-crested Cormorant,Double-crested Cormorant (Dark-crested),Double-crested Cormorant (White-crested)","-50,-180","90,20","!ZZ","!ZZ",0,0,5000,10000,5000,1,3,3,3,27
"176","doveki","Dovekie","Alle alle",296966,"Dovekie","-50,-180","90,20","!ZZ","!ZZ",0,0,20000,10000,10000,3,3,3,3,27
"177","dowwoo","Downy Woodpecker","Dryobates pubescens",3628831,"Downy Woodpecker,Downy Woodpecker (Eastern),Downy Woodpecker (Pacific),Downy Woodpecker (Rocky Mts.)","-50,-180","90,20","!ZZ","!ZZ",0,0,5000,10000,5000,1,3,3,3,27
"178","dunlin","Dunlin","Calidris alpina",15800007,"Dunlin,Dunlin (alpina)","-50,-180","90,20","!ZZ","!ZZ",0,0,10000,10000,5000,1,3,3,3,27
"179","dusfly","Dusky Flycatcher","Empidonax oberholseri",1048,"Dusky Flycatcher","-50,-180","90,20","!ZZ","!ZZ",0,0,20000,10000,10000,10,3,3,3,27
"180","dusgro","Dusky Grouse","Dendragapus obscurus",209,"Dusky Grouse,Dusky/Sooty Grouse,Sooty Grouse","-50,-180","90,20","!ZZ","04,06,09,10,11,16,17,18,34,35",0,0,20000,10000,10000,10,3,3,3,9
"181","eargre","Eared Grebe","Podiceps nigricollis",2181095,"Eared Grebe","-50,-180","90,20","!ZZ","!ZZ",0,0,10000,10000,5000,1,3,3,3,27
"182","easblu","Eastern Bluebird","Sialia sialis",3205727,"Eastern Bluebird,Eastern Bluebird (Eastern)","-50,-180","90,20","!ZZ","!ZZ",0,0,5000,10000,5000,1,3,3,3,27
"183","easkin","Eastern Kingbird","Tyrannus tyrannus",340,"Eastern Kingbird","-50,-180","90,20","!ZZ","!ZZ",0,0,20000,10000,10000,20,3,3,3,27
"184","easmea","Eastern Meadowlark","Sturnella magna",2479690,"Eastern Meadowlark,Eastern Meadowlark (Eastern),Eastern Meadowlark (Lilians)","-50,-180","90,20","!ZZ","!ZZ",0,0,5000,10000,5000,1,3,3,3,27
"185","easowl1","Eastern Screech-Owl","Megascops asio",222106,"Eastern Screech-Owl,Eastern Screech-Owl (Northern),Western Screech-Owl","-50,-101.9999","90,20","!ZZ","!ZZ",1,0,5000,10000,5000,1,3,3,3,27
"186","easpho","Eastern Phoebe","Sayornis phoebe",675474,"Eastern Phoebe","-50,-180","90,20","!ZZ","!ZZ",0,0,5000,10000,5000,1,3,3,3,27
"187","eastow","Eastern Towhee","Pipilo erythrophthalmus",550944,"Eastern Towhee,Eastern Towhee (Red-eyed),Eastern Towhee (White-eyed),Spotted Towhee,Spotted Towhee (maculatus Group),Spotted Towhee (oregonus Group),Spotted/Eastern Towhee (Rufous-sided Towhee)","-50,-95.9999","90,20","!ZZ","!ZZ",0,0,5000,10000,5000,1,3,3,3,27
"188","easwpw1","Eastern Whip-poor-will","Antrostomus vociferus",1610,"Eastern Whip-poor-will","-50,-180","90,20","!ZZ","!ZZ",0,0,20000,10000,10000,3,3,3,3,27
"189","eawpew","Eastern Wood-Pewee","Contopus virens",103,"Eastern Wood-Pewee","-50,-180","90,20","!ZZ","!ZZ",0,0,20000,10000,10000,5,3,3,3,9
"190","egygoo","Egyptian Goose","Alopochen aegyptiaca",10962,"Egyptian Goose","-50,-180","90,20","!ZZ","!ZZ",0,0,20000,10000,10000,3,3,3,3,27
"191","eleter1","Elegant Tern","Thalasseus elegans",162,"Elegant Tern","-50,-180","90,20","!ZZ","!ZZ",0,0,20000,10000,10000,10,3,3,3,9
"192","eletro","Elegant Trogon","Trogon elegans",171,"Elegant Trogon","-50,-180","90,20","!ZZ","!ZZ",0,0,50000,10000,10000,10,3,3,3,9
"193","empgoo","Emperor Goose","Anser canagicus",112822,"Emperor Goose","-50,-180","90,20","!ZZ","!ZZ",0,0,20000,10000,10000,10,3,3,3,27
"194","eucdov","Eurasian Collared-Dove","Streptopelia decaocto",1788745,"Eurasian Collared-Dove","-50,-180","90,20","!ZZ","!ZZ",0,0,10000,10000,10000,5,3,3,3,9
"195","eursta","European Starling","Sturnus vulgaris",446154180,"European Starling","-50,-180","90,20","!ZZ","!ZZ",0,0,5000,10000,5000,1,3,3,3,27
"196","eurwig","Eurasian Wigeon","Mareca penelope",21139,"Eurasian Wigeon","-50,-180","90,20","!ZZ","!ZZ",0,0,10000,10000,5000,1,3,3,3,27
"197","eutspa","Eurasian Tree Sparrow","Passer montanus",135721,"Eurasian Tree Sparrow","-50,-180","90,20","!ZZ","!ZZ",0,0,20000,10000,10000,3,3,3,3,27
"198","evegro","Evening Grosbeak","Coccothraustes vespertinus",2272849,"Evening Grosbeak,Evening Grosbeak (type 1)","-50,-180","90,20","!ZZ","!ZZ",0,0,10000,10000,5000,1,3,3,3,27
"199","ferhaw","Ferruginous Hawk","Buteo regalis",32934,"Ferruginous Hawk","-50,-180","90,20","!ZZ","!ZZ",0,0,10000,10000,5000,1,3,3,3,27
"200","fiespa","Field Sparrow","Spizella pusilla",1354612,"Field Sparrow","-50,-180","90,20","!ZZ","!ZZ",0,0,5000,10000,5000,1,3,3,3,27
"201","fiscro","Fish Crow","Corvus ossifragus",5147974,"Fish Crow","-50,-180","90,20","!ZZ","!ZZ",0,0,10000,10000,5000,1,3,3,3,27
"202","flsjay","Florida Scrub-Jay","Aphelocoma coerulescens",9405,"Florida Scrub-Jay,California Scrub-Jay,Island Scrub-Jay,Western Scrub-Jay,Western Scrub-Jay (Coastal),Western Scrub-Jay (Woodhouses)","-50,-180","90,20","FL","!ZZ",0,0,10000,10000,10000,10,3,3,3,27
"203","forter","Forster's Tern","Sterna forsteri",1011024,"Forsters Tern","-50,-180","90,20","!ZZ","!ZZ",0,0,10000,10000,5000,1,3,3,3,27
"204","foxspa","Fox Sparrow","Passerella iliaca",765577,"Fox Sparrow,Fox Sparrow (Red),Fox Sparrow (Slate-colored),Fox Sparrow (Sooty),Fox Sparrow (Thick-billed)","-50,-180","90,20","!ZZ","!ZZ",0,0,5000,10000,5000,1,3,3,3,27
"205","fragul","Franklin's Gull","Leucophaeus pipixcan",14636,"Franklins Gull","-50,-180","90,20","!ZZ","!ZZ",0,0,20000,10000,10000,5,3,3,3,27
"206","fuwduc","Fulvous Whistling-Duck","Dendrocygna bicolor",21106,"Fulvous Whistling-Duck","-50,-180","90,20","!ZZ","!ZZ",0,0,20000,10000,10000,10,3,3,3,27
"207","gadwal","Gadwall","Mareca strepera",7197261,"Gadwall,Gadwall (Common)","-50,-180","90,20","!ZZ","!ZZ",0,0,5000,10000,5000,1,3,3,3,27
"208","gamqua","Gambel's Quail","Callipepla gambelii",603409,"Gambels Quail","-50,-180","90,20","!ZZ","!ZZ",0,0,20000,10000,10000,3,3,3,3,27
"209","gbbgul","Great Black-backed Gull","Larus marinus",4187578,"Great Black-backed Gull","-50,-180","90,20","!ZZ","!ZZ",0,0,5000,10000,5000,1,3,3,3,27
"210","gcrfin","Gray-crowned Rosy-Finch","Leucosticte tephrocotis",278192,"Gray-crowned Rosy-Finch,Gray-crowned Rosy-Finch (Hepburns),Gray-crowned Rosy-Finch (Pribilof Is.)","-50,-180","90,20","!ZZ","!ZZ",0,0,5000,10000,5000,1,3,3,3,27
"211","gilfli","Gilded Flicker","Colaptes chrysoides",14645,"Gilded Flicker","-50,-180","90,20","!ZZ","!ZZ",0,0,20000,10000,10000,5,3,3,3,27
"212","gilwoo","Gila Woodpecker","Melanerpes uropygialis",133479,"Gila Woodpecker","-50,-180","90,20","!ZZ","!ZZ",0,0,20000,10000,10000,5,3,3,3,27
"213","glagul","Glaucous Gull","Larus hyperboreus",64117,"Glaucous Gull","-50,-180","90,20","!ZZ","!ZZ",0,0,10000,10000,5000,1,3,3,3,27
"214","gloibi","Glossy Ibis","Plegadis falcinellus",307659,"Glossy Ibis","-50,-180","90,20","!ZZ","!ZZ",0,0,20000,10000,5000,1,3,3,3,27
"215","glwgul","Glaucous-winged Gull","Larus glaucescens",6384493,"Glaucous-winged Gull","-50,-180","90,20","!ZZ","!ZZ",0,0,10000,10000,5000,1,3,3,3,27
"216","gnttow","Green-tailed Towhee","Pipilo chlorurus",26714,"Green-tailed Towhee","-50,-180","90,20","!ZZ","!ZZ",0,0,20000,10000,10000,3,3,3,3,27
"217","gnwtea","Green-winged Teal","Anas crecca",3598597,"Green-winged Teal,Green-winged Teal (American),Green-winged Teal (Eurasian),Green-winged Teal (intergrade)","-50,-180","90,20","!ZZ","!ZZ",0,0,5000,10000,5000,1,3,3,3,27
"218","gockin","Golden-crowned Kinglet","Regulus satrapa",2440648,"Golden-crowned Kinglet","-50,-180","90,20","!ZZ","!ZZ",0,0,5000,10000,5000,1,3,3,3,27
"219","gocspa","Golden-crowned Sparrow","Zonotrichia atricapilla",2587572,"Golden-crowned Sparrow","-50,-180","90,20","!ZZ","!ZZ",0,0,10000,10000,5000,1,3,3,3,27
"220","gofwoo","Golden-fronted Woodpecker","Melanerpes aurifrons",72843,"Golden-fronted Woodpecker","-50,-180","90,20","!ZZ","!ZZ",0,0,20000,10000,10000,3,3,3,3,27
"221","goleag","Golden Eagle","Aquila chrysaetos",61513,"Golden Eagle","-50,-180","90,20","!ZZ","!ZZ",0,0,10000,10000,5000,1,3,3,3,27
"222","gragoo","Graylag Goose","Anser anser",846,"Graylag Goose,Graylag Goose (Domestic type)","-50,-180","90,20","!ZZ","!ZZ",0,0,10000,10000,5000,1,3,3,3,27
"223","graspa","Grasshopper Sparrow","Ammodramus savannarum",17992,"Grasshopper Sparrow","-50,-180","90,20","!ZZ","!ZZ",0,0,20000,10000,5000,1,3,3,3,27
"224","grbani","Groove-billed Ani","Crotophaga sulcirostris",3862,"Groove-billed Ani","-50,-180","90,20","!ZZ","!ZZ",0,0,20000,10000,10000,3,3,3,3,27
"225","grbher3","Great Blue Heron","Ardea herodias",8749,"Great Blue Heron,Great Blue Heron (Blue form),Great Blue Heron (White form),Great Blue Heron (Wurdemanns)","-50,-180","90,20","!ZZ","!ZZ",0,0,5000,10000,5000,1,3,3,3,27
"226","grcfly","Great Crested Flycatcher","Myiarchus crinitus",10433,"Great Crested Flycatcher","-50,-180","90,20","!ZZ","!ZZ",0,0,20000,10000,10000,3,3,3,3,27
"227","grecor","Great Cormorant","Phalacrocorax carbo",184490,"Great Cormorant","-50,-180","90,20","!ZZ","!ZZ",0,0,10000,10000,5000,1,3,3,3,27
"228","greegr","Great Egret","Ardea alba",1618131,"Great Egret,Great Egret (American)","-50,-180","90,20","!ZZ","!ZZ",0,0,5000,10000,5000,1,3,3,3,27
"229","grefla2","American Flamingo","Phoenicopterus ruber",2983,"American Flamingo,American/Greater Flamingo","-50,-180","90,20","!ZZ","!ZZ",0,0,10000,10000,5000,1,3,3,3,27
"230","grekis","Great Kiskadee","Pitangus sulphuratus",39087,"Great Kiskadee","-50,-180","90,20","!ZZ","!ZZ",0,0,20000,10000,10000,5,3,3,3,27
"231","greroa","Greater Roadrunner","Geococcyx californianus",37859,"Greater Roadrunner","-50,-180","90,20","!ZZ","!ZZ",0,0,10000,10000,5000,1,3,3,3,27
"232","gresca","Greater Scaup","Aythya marila",9404438,"Greater Scaup","-50,-180","90,20","!ZZ","!ZZ",0,0,5000,10000,5000,1,3,3,3,27
"233","greshe","Great Shearwater","Ardenna gravis",211,"Great Shearwater","-50,-180","90,20","!ZZ","!ZZ",0,0,10000,10000,5000,1,3,3,3,27
"234","greyel","Greater Yellowlegs","Tringa melanoleuca",422554,"Greater Yellowlegs","-50,-180","90,20","!ZZ","!ZZ",0,0,5000,10000,5000,1,3,3,3,27
"235","grgowl","Great Gray Owl","Strix nebulosa",2094,"Great Gray Owl,Great Gray Owl (American)","-50,-180","90,20","!ZZ","!ZZ",1,0,20000,10000,10000,10,3,3,3,27
"236","grhowl","Great Horned Owl","Bubo virginianus",360564,"Great Horned Owl,Great Horned Owl (Great Horned)","-50,-180","90,20","!ZZ","!ZZ",1,0,5000,10000,5000,1,3,3,3,27
"237","grnher","Green Heron","Butorides virescens",73882,"Green Heron,Green Heron (anthonyi)","-50,-180","90,20","!ZZ","!ZZ",0,0,10000,10000,5000,1,3,3,3,27
"238","grnjay","Green Jay","Cyanocorax yncas",37503,"Green Jay","-50,-180","90,20","!ZZ","!ZZ",0,0,20000,10000,10000,5,3,3,3,27
"239","grnkin","Green Kingfisher","Chloroceryle americana",3598,"Green Kingfisher","-50,-180","90,20","!ZZ","!ZZ",0,0,20000,10000,10000,3,3,3,3,27
"240","grnpar","Green Parakeet","Psittacara holochlorus",18332,"Green Parakeet","-50,-180","90,20","!ZZ","!ZZ",0,0,20000,10000,10000,10,3,3,3,27
"241","grpchi","Greater Prairie-Chicken","Tympanuchus cupido",21174,"Greater Prairie-Chicken,Greater Prairie-Chicken (Attwaters)","-50,-180","90,20","!ZZ","!ZZ",0,0,20000,10000,10000,5,3,3,3,27
"242","grtgra","Great-tailed Grackle","Quiscalus mexicanus",11481551,"Great-tailed Grackle","-50,-180","90,20","!ZZ","!ZZ",0,0,10000,10000,5000,1,3,3,3,27
"243","grycat","Gray Catbird","Dumetella carolinensis",333166,"Gray Catbird","-50,-180","90,20","!ZZ","!ZZ",0,0,5000,10000,5000,1,3,3,3,27
"244","gryfly","Gray Flycatcher","Empidonax wrightii",5871,"Gray Flycatcher","-50,-180","90,20","!ZZ","!ZZ",0,0,20000,10000,10000,3,3,3,3,27
"245","gryhaw2","Gray Hawk","Buteo plagiatus",688,"Gray Hawk","-50,-180","90,20","!ZZ","!ZZ",0,0,20000,10000,10000,10,3,3,3,27
"246","gryjay","Canada Jay","Perisoreus canadensis",100000,"Canada Jay,Gray Jay,Gray Jay (Northern),Gray Jay (Pacific),Gray Jay (Rocky Mts.)","-50,-180","90,20","!ZZ","!ZZ",0,0,10000,10000,5000,1,3,3,3,27
"247","grypar","Gray Partridge","Perdix perdix",189797,"Gray Partridge","-50,-180","90,20","!ZZ","!ZZ",0,0,10000,10000,5000,1,3,3,3,27
"248","gubter2","Gull-billed Tern","Gelochelidon nilotica",12506,"Gull-billed Tern","-50,-180","90,20","!ZZ","!ZZ",0,0,20000,10000,10000,3,3,3,3,27
"249","gwfgoo","Greater White-fronted Goose","Anser albifrons",8448065,"Greater White-fronted Goose,Greater White-fronted Goose (Eurasian),Greater White-fronted Goose (Greenland),Greater White-fronted Goose (Western)","-50,-180","90,20","!ZZ","!ZZ",0,0,10000,10000,5000,1,3,3,3,27
"250","gycthr","Gray-cheeked Thrush","Catharus minimus",105,"Gray-cheeked Thrush","-50,-180","90,20","!ZZ","!ZZ",0,0,10000,10000,5000,1,3,3,3,27
"251","gyrfal","Gyrfalcon","Falco rusticolus",1268,"Gyrfalcon","-50,-180","90,20","!ZZ","!ZZ",0,0,50000,10000,10000,10,3,3,3,9
"252","haiwoo","Hairy Woodpecker","Dryobates villosus",1059786,"Hairy Woodpecker,Hairy Woodpecker (Eastern),Hairy Woodpecker (Pacific)","-50,-180","90,20","!ZZ","!ZZ",0,0,5000,10000,5000,1,3,3,3,27
"253","hamfly","Hammond's Flycatcher","Empidonax hammondii",1618,"Hammonds Flycatcher","-50,-180","90,20","!ZZ","!ZZ",0,0,20000,10000,10000,10,3,3,3,27
"254","harduc","Harlequin Duck","Histrionicus histrionicus",254886,"Harlequin Duck","-50,-180","90,20","!ZZ","!ZZ",0,0,20000,10000,5000,1,3,3,3,27
"255","harspa","Harris's Sparrow","Zonotrichia querula",766800,"Harriss Sparrow","-50,-180","90,20","!ZZ","!ZZ",0,0,10000,10000,5000,1,3,3,3,27
"256","heegul","Heermann's Gull","Larus heermanni",387413,"Heermanns Gull","-50,-180","90,20","!ZZ","!ZZ",0,0,20000,10000,10000,3,3,3,3,27
"257","henspa","Henslow's Sparrow","Centronyx henslowii",2637,"Henslows Sparrow","-50,-180","90,20","!ZZ","!ZZ",0,0,20000,10000,10000,5,3,3,3,27
"258","heptan","Hepatic Tanager","Piranga flava",491,"Hepatic Tanager","-50,-180","90,20","!ZZ","!ZZ",0,0,20000,10000,10000,10,3,3,3,27
"259","herthr","Hermit Thrush","Catharus guttatus",703098,"Hermit Thrush,Hermit Thrush (guttatus Group)","-50,-180","90,20","!ZZ","!ZZ",0,0,5000,10000,5000,1,3,3,3,27
"260","herwar","Hermit Warbler","Setophaga occidentalis",1345,"Hermit Warbler","-50,-180","90,20","!ZZ","!ZZ",0,0,20000,10000,10000,3,3,3,3,9
"261","hilmyn","Common Hill Myna","Gracula religiosa",504,"Common Hill Myna","-50,-180","90,20","!ZZ","!ZZ",0,0,20000,10000,10000,10,3,3,3,9
"262","hobkit","Hook-billed Kite","Chondrohierax uncinatus",119,"Hook-billed Kite","-50,-180","90,20","!ZZ","!ZZ",0,0,20000,10000,10000,10,3,3,3,27
"263","hoomer","Hooded Merganser","Lophodytes cucullatus",2038911,"Hooded Merganser","-50,-180","90,20","!ZZ","!ZZ",0,0,5000,10000,5000,1,3,3,3,27
"264","hooori","Hooded Oriole","Icterus cucullatus",690,"Hooded Oriole","-50,-180","90,20","!ZZ","!ZZ",0,0,20000,10000,10000,10,3,3,3,27
"265","horgre","Horned Grebe","Podiceps auritus",910787,"Horned Grebe","-50,-180","90,20","!ZZ","!ZZ",0,0,5000,10000,5000,1,3,3,3,27
"266","horlar","Horned Lark","Eremophila alpestris",8645841,"Horned Lark,Horned Lark (Atlas),Horned Lark (Eastern dark Group),Horned Lark (Western pale Group)","-50,-180","90,20","!ZZ","!ZZ",0,0,5000,10000,5000,1,3,3,3,27
"267","houfin","House Finch","Haemorhous mexicanus",14985770,"House Finch,House Finch (Common)","-50,-180","90,20","!ZZ","!ZZ",0,0,5000,10000,5000,1,3,3,3,27
"268","houspa","House Sparrow","Passer domesticus",40810476,"House Sparrow","-50,-180","90,20","!ZZ","!ZZ",0,0,5000,10000,5000,1,3,3,3,27
"269","houwre","Northern House Wren","Troglodytes aedon",285710,"Northern House Wren,House Wren,House Wren (Brown-throated),House Wren (Northern)","-50,-180","90,20","!ZZ","!ZZ",0,0,5000,10000,5000,1,3,3,3,27
"270","hrshaw","Harris's Hawk","Parabuteo unicinctus",22536,"Harriss Hawk","-50,-180","90,20","!ZZ","!ZZ",0,0,20000,10000,10000,3,3,3,3,27
"271","hutvir","Hutton's Vireo","Vireo huttoni",58207,"Huttons Vireo,Huttons Vireo (Interior),Huttons Vireo (Pacific)","-50,-180","90,20","!ZZ","!ZZ",0,0,10000,10000,5000,1,3,3,3,27
"272","incdov","Inca Dove","Columbina inca",194335,"Inca Dove","-50,-180","90,20","!ZZ","!ZZ",0,0,20000,10000,5000,1,3,3,3,27
"273","indbun","Indigo Bunting","Passerina cyanea",7252,"Indigo Bunting","-50,-180","90,20","!ZZ","!ZZ",0,0,20000,10000,5000,1,3,3,3,27
"274","juntit1","Juniper Titmouse","Baeolophus ridgwayi",15602,"Juniper Titmouse,Oak Titmouse,Oak/Juniper Titmouse (Plain Titmouse)","-50,-180","90,20","!CA","!ZZ",0,0,10000,10000,5000,1,3,3,3,27
"275","killde","Killdeer","Charadrius vociferus",4700271,"Killdeer","-50,-180","90,20","!ZZ","!ZZ",0,0,5000,10000,5000,1,3,3,3,27
"276","kineid","King Eider","Somateria spectabilis",8433,"King Eider","-50,-180","90,20","!ZZ","!ZZ",0,0,20000,10000,10000,3,3,3,3,27
"277","kinrai4","King Rail","Rallus elegans",22032,"King Rail,King Rail (Northern)","-50,-180","90,20","!ZZ","!ZZ",0,0,10000,10000,5000,1,3,3,3,27
"278","labwoo","Ladder-backed Woodpecker","Dryobates scalaris",101990,"Ladder-backed Woodpecker","-50,-180","90,20","!ZZ","!ZZ",0,0,20000,10000,5000,1,3,3,3,27
"279","laplon","Lapland Longspur","Calcarius lapponicus",2016311,"Lapland Longspur","-50,-180","90,20","!ZZ","!ZZ",0,0,5000,10000,5000,1,3,3,3,27
"280","larbun","Lark Bunting","Calamospiza melanocorys",619714,"Lark Bunting","-50,-180","90,20","!ZZ","!ZZ",0,0,20000,10000,10000,3,3,3,3,27
"281","larspa","Lark Sparrow","Chondestes grammacus",514153,"Lark Sparrow","-50,-180","90,20","!ZZ","!ZZ",0,0,10000,10000,5000,1,3,3,3,27
"282","laugul","Laughing Gull","Leucophaeus atricilla",9900711,"Laughing Gull","-50,-180","90,20","!ZZ","!ZZ",0,0,10000,10000,5000,1,3,3,3,27
"283","lawgol","Lawrence's Goldfinch","Spinus lawrencei",35075,"Lawrences Goldfinch","-50,-180","90,20","!ZZ","!ZZ",0,0,20000,10000,10000,3,3,3,3,27
"284","layalb","Laysan Albatross","Phoebastria immutabilis",169,"Laysan Albatross","-50,-180","90,20","!ZZ","!ZZ",0,0,20000,10000,10000,3,3,3,3,27
"285","lazbun","Lazuli Bunting","Passerina amoena",1710,"Lazuli Bunting","-50,-180","90,20","!ZZ","!ZZ",0,0,20000,10000,10000,10,3,3,3,27
"286","lbbgul","Lesser Black-backed Gull","Larus fuscus",52605,"Lesser Black-backed Gull,Lesser Black-backed Gull (graellsii),Lesser Black-backed Gull (taimyrensis)","-50,-180","90,20","!ZZ","!ZZ",0,0,10000,10000,5000,1,3,3,3,27
"287","leaauk","Least Auklet","Aethia pusilla",190,"Least Auklet","-50,-180","90,20","!ZZ","!ZZ",0,0,20000,10000,10000,3,3,3,3,27
"288","leabit","Least Bittern","Botaurus exilis",4815,"Least Bittern","-50,-180","90,20","!ZZ","!ZZ",0,0,20000,10000,10000,3,3,3,3,27
"289","leafly","Least Flycatcher","Empidonax minimus",953,"Least Flycatcher","-50,-180","90,20","!ZZ","!ZZ",0,0,20000,10000,10000,5,3,3,3,27
"290","leagre","Least Grebe","Tachybaptus dominicus",14355,"Least Grebe","-50,-180","90,20","!ZZ","!ZZ",0,0,20000,10000,10000,3,3,3,3,27
"291","leasan","Least Sandpiper","Calidris minutilla",2882858,"Least Sandpiper","-50,-180","90,20","!ZZ","!ZZ",0,0,10000,10000,5000,1,3,3,3,27
