ebird_com_me,dir_exists,got_data,got_coverage,mapped_neighbors,got_draws,got_par_sums,made_trend_maps,got_indices,got_trends,prop_bad_rh,prop_bad_ess,trend_median,trend_q0.025,trend_q0.975,trend_median_10yr,trend_q0.025_10yr,trend_q0.975_10yr,ebird_sci_me,sum_success
Black-bellied Whistling-Duck,1,1,1,1,1,1,1,1,1,0,0,13.28295565,9.581425588,17.09769291,14.3582328,3.475910908,27.16096812,Dendrocyg_autumlis,6
Black-crowned Night Heron,1,1,1,1,1,1,1,1,1,0,0,1.205325355,0.768096994,1.8475645,-1.382788051,-2.940111355,0.36177965,Nycticorax_nycticorax,6
Brown-capped Rosy-Finch,1,1,1,0,0,0,0,0,0,,,,,,,,,Leucosticte_australis,2
Belted Kingfisher,1,1,1,1,1,1,1,1,1,0,0,0.32788605,0.237532571,0.421877272,-0.697236138,-0.866845019,-0.448552496,Megaceryle_alcyon,6
Bell's Vireo,1,1,0,0,0,0,0,0,0,,,,,,,,,Vireo_bellii,1
Bendire's Thrasher,1,1,1,1,1,1,1,1,1,0,0,-5.216250604,-6.734485784,-3.744770665,-6.558861138,-11.92961203,-1.355858982,Toxostoma_bendirei,6
Bewick's Wren,1,1,1,1,1,1,1,1,1,0,0,-0.497367803,-0.869910559,-0.288626086,-1.013101844,-1.644525972,-0.619450612,Thryomanes_bewickii,6
Black-billed Magpie,1,1,1,1,1,1,1,1,1,0,0,0.008223507,-0.233721607,0.232119713,-0.805994464,-1.286503041,-0.306557214,Pica_hudsonia,6
Black-bellied Plover,1,1,1,1,1,1,1,1,1,0,0,0.027981927,-0.896368814,1.614007423,-2.887587823,-6.699598658,-0.525803022,Pluvialis_squatarola,6
Black-backed Woodpecker,1,1,1,1,1,1,1,1,1,0,0,0.30491217,-1.541886007,2.089252543,0.840131703,-3.434132939,5.846677888,Picoides_arcticus,6
Black-capped Chickadee,1,1,1,1,1,1,1,1,1,0,0,1.475932825,1.239282802,1.688067958,-1.040122647,-1.415297752,-0.65037595,Poecile_atricapillus,6
Black-capped Gtcatcher,1,1,1,0,0,0,0,0,0,,,,,,,,,Polioptila_nigriceps,2
Black-chinned Hummingbird,1,1,1,1,1,1,1,1,1,0,0,5.040388542,2.225366335,7.837667021,-0.289059851,-4.135969842,4.328304696,Archilochus_alexandri,6
Black-chinned Sparrow,1,1,1,1,1,1,1,1,1,0,0,-1.751639494,-3.035252221,-0.549293648,-5.643615282,-9.756769721,-1.615264619,Spizella_atrogularis,6
Black-footed Albatross,1,1,1,0,0,0,0,0,0,,,,,,,,,Phoebastria_nigripes,2
Black-headed Grosbeak,1,1,1,0,0,0,0,0,0,,,,,,,,,Pheucticus_melanocephalus,2
Black-headed Gull,1,1,1,1,1,1,1,1,1,0,0,-1.935788672,-3.759790114,-0.095873814,-7.987006441,-14.24648319,-1.087567731,Chroicocephalus_ridibundus,6
nday Parakeet,1,1,1,0,0,0,0,0,0,,,,,,,,,Aratinga_nenday,2
Black-legged Kittiwake,1,1,1,1,1,1,1,1,1,0,0,-2.912590009,-6.588032208,0.077139276,-2.206116562,-9.909521317,8.457769555,Rissa_tridactyla,6
Black-necked Stilt,1,1,1,1,1,1,1,1,1,0,0,5.29947567,3.897529928,6.709745087,-1.785106423,-5.684353194,1.570527856,Himantopus_mexicanus,6
Black Rosy-Finch,1,1,1,1,1,1,1,1,1,0,0,-1.66684361,-5.348168958,1.799243401,-6.670842636,-17.01128843,4.426993259,Leucosticte_atrata,6
Black-tailed Gtcatcher,1,1,1,1,1,1,1,1,1,0,0,1.296871247,0.304897309,2.295848147,-6.847964103,-9.426796613,-3.936166717,Polioptila_melanura,6
Black-throated Sparrow,1,1,1,1,1,1,1,1,1,0,0,-1.260393172,-2.047292148,-0.591500178,-0.885924295,-1.940046915,2.685245891,Amphispiza_bilineata,6
Black-vented Shearwater,1,1,1,0,0,0,0,0,0,,,,,,,,,Puffinus_opisthomelas,2
Black-crested Titmouse,1,1,1,1,1,1,1,1,1,0,0,-0.668282536,-1.276984191,-0.068501322,-0.793358011,-2.668227779,1.259160012,Baeolophus_atricristatus,6
Black Guillemot,1,1,1,1,1,1,1,1,1,0,0.130705394,0.86377379,-0.857899492,2.378038625,-1.946286443,-5.50630462,2.413468696,Cepphus_grylle,6
Black Oystercatcher,1,1,1,1,1,1,1,1,1,0,0,3.815757565,3.00574764,4.640446588,4.014593072,1.905755547,6.319785159,Haematopus_bachmani,6
Black Phoebe,1,1,1,1,1,1,1,1,1,0,0,2.583969788,2.323210012,2.843826416,1.254204121,0.569759752,1.994832369,Sayornis_nigricans,6
