ebird_com_me,dir_exists,got_data,got_coverage,mapped_neighbors,got_draws,got_par_sums,made_trend_maps,got_indices,got_trends,prop_bad_rh,prop_bad_ess,trend_median,trend_q0.025,trend_q0.975,trend_median_10yr,trend_q0.025_10yr,trend_q0.975_10yr,ebird_sci_me,sum_success
Double-crested Cormorant,1,1,1,1,1,1,1,1,1,0,0,6.808546943,5.820325017,8.768693458,-5.785406571,-11.85717181,-1.074607005,nnopterum_auritum,6
Dovekie,1,1,1,1,1,1,1,1,1,0,0,-0.599090118,-4.73102364,3.75578528,6.18980505,-7.551878742,25.85135198,Alle_alle,6
Downy Woodpecker,1,1,1,1,1,1,1,1,1,0,0,0.858182903,0.809524843,0.909067291,0.126003443,0.036249579,0.213565955,Dryobates_pubescens,6
Dunlin,1,1,1,1,1,1,1,1,1,0,0,-0.370287711,-1.392830828,0.945026652,-2.309221948,-5.228001198,2.099228446,Calidris_alpi,6
Dusky Flycatcher,1,1,1,1,1,1,1,1,1,0,0,4.62146368,2.115767356,7.654426864,-0.954992318,-5.578097667,3.642290263,Empidox_oberholseri,6
Dusky Grouse,1,1,1,0,0,0,0,0,0,,,,,,,,,Dendragapus_obscurus,2
Eared Grebe,1,1,1,1,1,1,1,1,1,0,0,0.117357909,-1.321149771,1.461664038,-3.389276041,-7.90389507,1.26135572,Podiceps_nigricollis,6
Eastern Bluebird,1,1,1,1,1,1,1,1,1,0,0,1.174561726,0.927939423,1.409921279,-2.326119054,-3.000065855,-1.741171184,Sialia_sialis,6
Eastern Kingbird,1,1,1,0,0,0,0,0,0,,,,,,,,,Tyrannus_tyrannus,2
Eastern Meadowlark,1,1,1,1,1,1,1,1,1,0,0,-2.673257114,-3.044887684,-2.149810724,-0.590210988,-2.061113828,1.594462652,Sturnella_mag,6
Eastern Screech-Owl,1,1,1,1,1,1,1,1,1,0,0,0.653484346,0.394638181,0.912189644,-2.503762142,-3.164678568,-1.810367301,Megascops_asio,6
Eastern Phoebe,1,1,1,1,1,1,1,1,1,0,0,1.93140636,1.76895256,2.090547044,-0.167769607,-0.539839993,0.187193793,Sayornis_phoebe,6
Eastern Towhee,1,1,1,1,1,1,1,1,1,0,0,-1.9564436,-2.185307474,-1.747319469,-1.047262992,-1.715083399,-0.49938475,Pipilo_erythrophthalmus,6
Eastern Whip-poor-will,1,1,0,1,1,1,1,1,1,0,0,-1.795730095,-2.649536144,-0.973402467,1.736197161,-1.697117147,5.271292333,Antrostomus_vociferus,5
Eastern Wood-Pewee,1,1,0,0,0,0,0,0,0,,,,,,,,,Contopus_virens,1
Egyptian Goose,1,1,1,1,1,1,1,1,1,0,0,28.55228671,17.5578315,44.48920637,42.96286419,29.00496718,60.33547256,Alopochen_aegyptiaca,6
Elegant Tern,1,1,1,0,0,0,0,0,0,,,,,,,,,Thalasseus_elegans,2
Elegant Trogon,1,1,1,0,0,0,0,0,0,,,,,,,,,Trogon_elegans,2
Emperor Goose,1,1,1,0,0,0,0,0,0,,,,,,,,,Anser_cagicus,2
Eurasian Collared-Dove,1,1,1,1,1,1,1,1,1,0,0,35.60813288,26.43172811,50.08444998,-2.669839396,-4.388993128,-0.722654924,Streptopelia_decaocto,6
European Starling,1,1,1,1,1,1,1,1,1,0,0,-1.037769645,-1.591999446,-0.466988545,-3.995992338,-5.628162984,-2.206520218,Sturnus_vulgaris,6
Eurasian Wigeon,1,1,1,1,1,1,1,1,1,0,0,4.034627459,3.277444751,4.864316294,-1.150607653,-2.7434094,0.431563893,Mareca_penelope,6
Eurasian Tree Sparrow,1,1,1,1,1,1,1,1,1,0,0,11.53261033,9.846076945,13.36260215,20.39547948,16.01422911,26.17426407,Passer_montanus,6
Evening Grosbeak,1,1,1,1,1,1,1,1,1,0,0,-1.352068721,-4.943712751,0.779078654,5.118526695,0.278868217,11.80496139,Coccothraustes_vespertinus,6
Ferruginous Hawk,1,1,1,1,1,1,1,1,1,0,0,1.818817859,1.318764084,2.349937638,-0.85019637,-2.38693131,0.644955774,Buteo_regalis,6
Field Sparrow,1,1,1,1,1,1,1,1,1,0,0,-3.107965252,-3.3179248,-2.91872215,-3.594234394,-4.102063353,-3.120656643,Spizella_pusilla,6
Fish Crow,1,1,1,1,1,1,1,1,1,0,0,0.074936641,-1.285295992,2.016931007,0.526733726,-2.591038392,5.664936401,Corvus_ossifragus,6
Florida Scrub-Jay,1,1,1,0,0,0,0,0,0,,,,,,,,,Aphelocoma_coerulescens,2
Forster's Tern,1,1,1,1,1,1,1,1,1,0,0,3.568275768,2.587643276,4.909421903,-1.081853156,-4.075149606,2.670398041,Ster_forsteri,6
Fox Sparrow,1,1,1,1,1,1,1,1,1,0,0,-0.627557629,-0.943896808,-0.325749709,-2.761859922,-3.648422502,-1.853162992,Passerella_iliaca,6
Franklin's Gull,1,1,1,1,1,1,1,1,1,0,0,0.033625966,-2.608418132,2.487928494,6.794893496,-1.648418393,17.3381465,Leucophaeus_pipixcan,6
Fulvous Whistling-Duck,1,1,1,1,1,1,1,1,1,0,0,-4.925521031,-7.775929765,-2.148133202,0.295216262,-9.928210559,12.10019969,Dendrocyg_bicolor,6
Gadwall,1,1,1,1,1,1,1,1,1,0,0,2.118665806,1.193283165,3.39061466,-2.847552049,-5.179372905,0.730144529,Mareca_strepera,6
Gambel's Quail,1,1,1,1,1,1,1,1,1,0,0,-0.687040967,-1.26150009,-0.014519999,0.36557662,-1.629504698,2.804655471,Callipepla_gambelii,6
Great Black-backed Gull,1,1,1,1,1,1,1,1,1,0,0,-1.383743658,-1.94299789,-0.873013304,-8.833001063,-10.94671779,-7.184122535,Larus_marinus,6
Gray-crowned Rosy-Finch,1,1,1,1,1,1,1,1,1,0,0,-2.719713808,-7.858848039,1.945710174,-2.255327304,-16.41234547,11.69985277,Leucosticte_tephrocotis,6
Gilded Flicker,1,1,1,1,1,1,1,1,1,0,0,-1.409405144,-2.250217696,-0.559551782,2.608893174,-0.34214974,5.876741592,Colaptes_chrysoides,6
Gila Woodpecker,1,1,1,1,1,1,1,1,1,0,0,0.753842742,0.337021186,1.187692033,-0.145274932,-1.375376612,1.101342886,Melanerpes_uropygialis,6
Glaucous Gull,1,1,1,1,1,1,1,1,1,0,0,-1.315467097,-3.742572878,0.7772334,-11.62805709,-16.85379621,-5.960547071,Larus_hyperboreus,6
Glossy Ibis,1,1,1,1,1,1,1,1,1,0,0,5.352144103,4.207289993,6.472585745,6.394932652,3.187038019,9.914494813,Plegadis_falcinellus,6
Glaucous-winged Gull,1,1,1,1,1,1,1,1,1,0,0,-2.863214431,-4.674981099,-1.630918189,-4.670633027,-6.558123709,-2.442943236,Larus_glaucescens,6
Green-tailed Towhee,1,1,1,1,1,1,1,1,1,0,0,-0.843241009,-1.388290324,-0.198397064,0.180632304,-0.805883428,3.274876313,Pipilo_chlorurus,6
Green-winged Teal,1,1,1,1,1,1,1,1,1,0,0,-0.685653492,-2.065608484,0.390626362,3.596677655,0.025750472,6.077056047,As_crecca,6
Golden-crowned Kinglet,1,1,1,1,1,1,1,1,1,0,0,-0.037449296,-0.310326769,0.249043003,-1.148840496,-1.661170407,-0.249921349,Regulus_satrapa,6
Golden-crowned Sparrow,1,1,1,1,1,1,1,1,1,0,0,0.367370463,0.049433878,0.935134721,-0.716756761,-1.590155387,0.838474719,Zonotrichia_atricapilla,6
Golden-fronted Woodpecker,1,1,1,1,1,1,1,1,1,0,0,-0.146066016,-0.590997264,0.320590378,-2.754114304,-4.268764261,-1.057557191,Melanerpes_aurifrons,6
Golden Eagle,1,1,1,1,1,1,1,1,1,0,0,-0.343409672,-0.653214071,-0.046789385,-2.632702479,-3.535914963,-1.742010243,Aquila_chrysaetos,6
Graylag Goose,1,1,1,0,0,0,0,0,0,,,,,,,,,Anser_anser,2
Grasshopper Sparrow,1,1,1,1,1,1,1,1,1,0,0,-1.061582037,-1.963499719,-0.101692081,-3.532682698,-6.484330467,-0.169114544,Ammodramus_savanrum,6
Groove-billed Ani,1,1,1,1,1,1,1,1,1,0,0,-3.739256834,-5.667150435,-1.918724952,-6.564344037,-13.46830817,0.394895992,Crotophaga_sulcirostris,6
Great Blue Heron,1,1,1,1,1,1,1,1,1,0,0,1.531272335,1.424841829,1.636665033,-1.651994374,-1.894332218,-1.428450547,Ardea_herodias,6
Great Crested Flycatcher,1,1,1,0,0,0,0,0,0,,,,,,,,,Myiarchus_crinitus,2
Great Cormorant,1,1,1,1,1,1,1,1,1,0,0,0.459947892,-0.872562229,2.648706801,0.086498072,-3.579683017,5.319122334,Phalacrocorax_carbo,6
Great Egret,1,1,1,1,1,1,1,1,1,0,0,3.474907529,3.061043755,3.979089074,1.39165802,0.249045174,2.809193459,Ardea_alba,6
American Flamingo,1,1,0,0,0,0,0,0,0,,,,,,,,,Phoenicopterus_ruber,1
Great Kiskadee,1,1,1,1,1,1,1,1,1,0,0,2.710209181,1.914897344,3.536153037,-2.37972085,-4.84860813,0.201448757,Pitangus_sulphuratus,6
Greater Roadrunner,1,1,1,1,1,1,1,1,1,0,0,-0.399675899,-0.706859712,-0.089184859,-0.539159589,-3.121982084,-0.233565528,Geococcyx_californianus,6
Greater Scaup,1,1,1,1,1,1,1,1,1,0,0,-1.192139635,-3.069893417,0.591643519,0.881972398,-2.10740705,8.231858092,Aythya_marila,6
Great Shearwater,1,1,1,0,0,0,0,0,0,,,,,,,,,Arden_gravis,2
Greater Yellowlegs,1,1,1,1,1,1,1,1,1,0,0,1.545970261,1.129103926,1.96668635,1.70155859,0.325063279,2.932133117,Tringa_melanoleuca,6
Great Gray Owl,1,1,1,1,1,1,1,1,1,0,0,3.235363589,-0.872354808,8.325939159,0.530123802,-2.561047123,6.412528669,Strix_nebulosa,6
Great Horned Owl,1,1,1,1,1,1,1,1,1,0,0,0.341382203,0.166226231,0.502716558,-1.413988913,-1.908506304,-0.950143677,Bubo_virginianus,6
Green Heron,1,1,1,1,1,1,1,1,1,0,0,-0.740826965,-1.054258567,-0.449889617,0.503872772,-0.402964536,1.519065365,Butorides_virescens,6
Green Jay,1,1,1,1,1,1,1,1,1,0,0,2.247318561,1.252718982,3.215283717,2.169355188,-1.379064692,6.014788149,Cyanocorax_yncas,6
Green Kingfisher,1,1,1,1,1,1,1,1,1,0,0,0.096967728,-1.30314846,1.299167466,-4.30870762,-7.606974617,-0.720599612,Chloroceryle_america,6
Green Parakeet,1,1,1,0,0,0,0,0,0,,,,,,,,,Psittacara_holochlorus,2
Greater Prairie-Chicken,1,1,1,1,1,1,1,1,1,0,0,0.728629558,-3.603891166,5.709662183,-7.078643818,-20.80705684,6.501809772,Tympanuchus_cupido,6
Great-tailed Grackle,1,1,1,1,1,1,1,1,1,0,0,32.8347995,25.82382266,43.74634382,-4.251322378,-9.894450643,2.148479813,Quiscalus_mexicanus,6
Gray Catbird,1,1,1,1,1,1,1,1,1,0,0,0.981767012,0.720860336,1.234882276,2.948941679,2.088015516,3.827382468,Dumetella_carolinensis,6
Gray Flycatcher,1,1,1,1,1,1,1,1,1,0,0,1.461810718,0.387871325,2.464778497,-2.660141621,-5.350224513,0.201619223,Empidox_wrightii,6
Gray Hawk,1,1,1,0,0,0,0,0,0,,,,,,,,,Buteo_plagiatus,2
Cada Jay,1,1,1,1,1,1,1,1,1,0,0,-0.820321274,-1.813889431,0.117017708,-3.531560108,-5.854408926,-1.557472116,Perisoreus_cadensis,6
Gray Partridge,1,1,1,1,1,1,1,1,1,0,0,-1.713203565,-5.555185566,0.224481235,6.627746556,-0.397884529,14.35573927,Perdix_perdix,6
Gull-billed Tern,1,1,1,1,1,1,1,1,1,0,0,0.113369279,-1.030679709,1.455627171,-0.445130086,-4.425745577,4.328239893,Gelochelidon_nilotica,6
Greater White-fronted Goose,1,1,1,1,1,1,1,1,1,0,0,8.591428162,6.226624337,10.99260521,9.255325387,2.258791298,18.19185587,Anser_albifrons,6
Gray-cheeked Thrush,1,1,0,0,0,0,0,0,0,,,,,,,,,Catharus_minimus,1
Gyrfalcon,1,1,1,1,1,1,1,1,1,0,0,-2.143510817,-4.756360592,0.356424125,-8.196014074,-15.5353867,-0.72908648,Falco_rusticolus,6
Hairy Woodpecker,1,1,1,1,1,1,1,1,1,0,0,0.942759184,0.815753143,1.119842873,0.466298074,0.250254784,0.928622431,Dryobates_villosus,6
Hammond's Flycatcher,1,1,1,1,1,1,1,1,1,0,0,10.56349619,6.708882921,15.89095678,-5.699182844,-9.789398373,-1.339802897,Empidox_hammondii,6
Harlequin Duck,1,1,1,1,1,1,1,1,1,0,0,0.067065263,-1.601399135,1.519291138,-0.317862977,-3.471351912,3.485256207,Histrionicus_histrionicus,6
Harris's Sparrow,1,1,1,1,1,1,1,1,1,0,0,-2.213188216,-2.981381218,-1.765156024,-1.9649866,-3.402303277,-0.822510673,Zonotrichia_querula,6
Heermann's Gull,1,1,1,1,1,1,1,1,1,0,0,-0.867064321,-1.678583077,-0.048516441,-6.658316335,-9.156983584,-4.430970323,Larus_heermanni,6
Henslow's Sparrow,1,1,1,1,1,1,1,1,1,0,0,-0.714586245,-2.410482107,1.015884837,-3.075752361,-8.997755976,3.127985542,Centronyx_henslowii,6
Hepatic Tager,1,1,1,0,0,0,0,0,0,,,,,,,,,Piranga_flava,2
Hermit Thrush,1,1,1,1,1,1,1,1,1,0,0,0.515211262,0.362041937,0.653025706,0.449143803,0.202002033,0.588451206,Catharus_guttatus,6
Hermit Warbler,1,1,1,1,1,1,1,1,1,0,0,0.566107009,-0.851176695,2.032398964,-4.931655685,-9.629660779,-0.186745137,Setophaga_occidentalis,6
Common Hill My,1,1,1,0,0,0,0,0,0,,,,,,,,,Gracula_religiosa,2
Hook-billed Kite,1,1,1,0,0,0,0,0,0,,,,,,,,,Chondrohierax_uncitus,2
Hooded Merganser,1,1,1,1,1,1,1,1,1,0,0,3.194366445,2.367654204,3.710295851,1.149393624,0.216187716,2.106395569,Lophodytes_cucullatus,6
Hooded Oriole,1,1,1,1,1,1,1,1,1,0,0,2.105463423,0.650971978,3.635773017,1.282078536,-4.607461027,6.984931815,Icterus_cucullatus,6
Horned Grebe,1,1,1,1,1,1,1,1,1,0.000392003,0.003920031,-0.803198455,-1.458536729,-0.307435843,-1.568932356,-4.017020324,0.597656257,Podiceps_auritus,6
Horned Lark,1,1,1,1,1,1,1,1,1,0,0,-3.919607482,-5.430406701,-2.695193109,-6.176202534,-9.232731237,-2.330864284,Eremophila_alpestris,6
House Finch,1,1,1,1,1,1,1,1,1,0,0,0.053040593,-0.380066828,0.384251381,-0.375677655,-1.003686896,0.298270191,Haemorhous_mexicanus,6
House Sparrow,1,1,1,1,1,1,1,1,1,0,0,-1.636529011,-1.783487872,-1.496554621,-0.650929087,-1.151934898,-0.164279318,Passer_domesticus,6
Northern House Wren,1,1,1,1,1,1,1,1,1,0,0,0.70094486,0.472808657,0.925428866,1.573077095,1.157511362,3.182525496,Troglodytes_aedon,6
Harris's Hawk,1,1,1,1,1,1,1,1,1,0,0,-1.398901543,-2.305500706,-0.636687317,-1.839691222,-4.800823002,0.953855425,Parabuteo_unicinctus,6
Hutton's Vireo,1,1,1,1,1,1,1,1,1,0,0,1.083568222,0.625093633,1.479388271,-1.148618393,-2.266627347,-0.089152206,Vireo_huttoni,6
Inca Dove,1,1,1,1,1,1,1,1,1,0,0,-0.73319415,-1.889879657,0.199484759,-5.391436747,-7.536939734,-3.120797554,Columbi_inca,6
Indigo Bunting,1,1,1,1,1,1,1,1,1,0,0,-0.094338929,-1.111904062,1.017285277,0.166237692,-3.541302982,3.944619622,Passeri_cyanea,6
Juniper Titmouse,1,1,1,1,1,1,1,1,1,0,0,1.444326148,0.395087454,2.436610091,5.919389287,2.936670526,9.178670147,Baeolophus_ridgwayi,6
Killdeer,1,1,1,1,1,1,1,1,1,0,0,-0.479315275,-0.744487338,-0.200931647,-2.265002739,-3.081642554,-1.392949055,Charadrius_vociferus,6
King Eider,1,1,1,1,1,1,1,1,1,0,0,-7.8063869,-11.45374992,-3.81997666,-13.34498983,-23.01049876,-2.765228824,Somateria_spectabilis,6
King Rail,1,1,1,1,1,1,1,1,1,0,0,-2.091393903,-3.017185664,-1.286294748,-2.127251735,-4.853350991,0.40658479,Rallus_elegans,6
Ladder-backed Woodpecker,1,1,1,1,1,1,1,1,1,0,0,0.395966722,0.127323328,0.619942325,0.711508343,-0.206625185,1.347251092,Dryobates_scalaris,6
Lapland Longspur,1,1,1,1,1,1,1,1,1,0,0,-2.382406419,-6.726331912,2.672270208,-2.00194699,-13.52800583,18.67035043,Calcarius_lapponicus,6
Lark Bunting,1,1,1,1,1,1,1,1,1,0,0,-2.591327181,-5.320040852,0.311540553,0.803753588,-6.411280932,13.41939769,Calamospiza_melanocorys,6
Lark Sparrow,1,1,1,1,1,1,1,1,1,0,0,-2.754042526,-3.558279882,-2.175275778,-2.473429668,-4.285839294,-0.709855566,Chondestes_grammacus,6
Laughing Gull,1,1,1,1,1,1,1,1,1,0,0,3.416813113,2.589449587,4.862414547,-0.949079671,-3.115022391,2.602264096,Leucophaeus_atricilla,6
Lawrence's Goldfinch,1,1,1,1,1,1,1,1,1,0,0,-2.92131188,-4.967199135,-1.164821714,-1.356034556,-10.97532143,2.065071737,Spinus_lawrencei,6
Laysan Albatross,1,1,1,0,0,0,0,0,0,,,,,,,,,Phoebastria_immutabilis,2
Lazuli Bunting,1,1,1,0,0,0,0,0,0,,,,,,,,,Passeri_amoe,2
Lesser Black-backed Gull,1,1,1,1,1,1,1,1,1,0,0,14.16184052,12.05043785,16.23667414,11.67486485,9.257847154,14.45419868,Larus_fuscus,6
Least Auklet,1,1,1,0,0,0,0,0,0,,,,,,,,,Aethia_pusilla,2
Least Bittern,1,1,1,1,1,1,1,1,1,0,0,1.436907114,0.362386882,2.57804018,3.161390106,-0.664018698,7.126368892,Botaurus_exilis,6
Least Flycatcher,1,1,1,1,1,1,1,1,1,0,0,5.53958006,3.2282799,8.105107803,5.436345107,0.542138793,10.77062137,Empidox_minimus,6
Least Grebe,1,1,1,1,1,1,1,1,1,0,0,0.54660577,-0.609892083,2.010750665,0.984937649,-0.989969484,7.926895356,Tachybaptus_dominicus,6
Least Sandpiper,1,1,1,1,1,1,1,1,1,0,0,0.17047404,-0.427626202,0.793747905,0.095061802,-1.775000113,2.400992867,Calidris_minutilla,6
Least Tern,1,1,0,0,0,0,0,0,0,,,,,,,,,Sternula_antillarum,1
LeConte's Sparrow,1,1,1,1,1,1,1,1,1,0,0,-1.328897788,-2.200352291,-0.41259907,-3.654289026,-6.533930052,-0.072081614,Ammospiza_leconteii,6
LeConte's Thrasher,1,1,1,1,1,1,1,1,1,0,0,-2.049666645,-3.768107371,-0.427767421,-5.730319219,-12.53688166,0.152381569,Toxostoma_lecontei,6
Lesser Prairie-Chicken,1,1,1,0,0,0,0,0,0,,,,,,,,,Tympanuchus_pallidicinctus,2
Lesser Goldfinch,1,1,1,1,1,1,1,1,1,0,0,2.42626627,1.393398383,4.78345854,5.209293595,2.433231669,9.593078412,Spinus_psaltria,6
Lesser Nighthawk,1,1,1,0,0,0,0,0,0,,,,,,,,,Chordeiles_acutipennis,2
Lesser Scaup,1,1,1,1,1,1,1,1,1,0,0,-1.9106269,-2.71014145,-1.303464423,-0.983796922,-2.111006296,1.69426536,Aythya_affinis,6
Lesser Yellowlegs,1,1,1,1,1,1,1,1,1,0,0,-0.693188513,-1.378384978,-0.016195267,-2.882245984,-5.077003836,-0.550925654,Tringa_flavipes,6
Lewis's Woodpecker,1,1,1,1,1,1,1,1,1,0,0,-2.946096979,-5.60255635,-0.763454702,8.856608995,5.390041544,12.49930457,Melanerpes_lewis,6
Little Blue Heron,1,1,1,1,1,1,1,1,1,0,0,-0.465959642,-1.131212515,0.033257416,1.51181857,0.335642392,2.986613121,Egretta_caerulea,6
Lilac-crowned Amazon,1,1,1,0,0,0,0,0,0,,,,,,,,,Amazo_finschi,2
Limpkin,1,1,1,1,1,1,1,1,1,0,0,3.916325719,2.099025499,5.399668169,4.36616098,1.771756474,7.085962754,Aramus_guarau,6
Lincoln's Sparrow,1,1,1,1,1,1,1,1,1,0,0,-0.420752391,-1.058468315,0.050875197,-0.376999967,-1.85416182,0.20195767,Melospiza_lincolnii,6
Little Gull,1,1,1,1,1,1,1,1,1,0,0,-0.350884458,-2.501962477,2.044477296,-7.325335613,-14.61341383,2.388277564,Hydrocoloeus_minutus,6
Long-billed Curlew,1,1,1,1,1,1,1,1,1,0,0,-0.721971408,-2.00844028,0.172478078,-0.70171736,-3.686240921,2.454723122,Numenius_americanus,6
Long-billed Dowitcher,1,1,1,1,1,1,1,1,1,0,0,1.700919151,-0.2861766,3.467688745,0.730501879,-4.049015681,6.701380302,Limnodromus_scolopaceus,6
Long-billed Thrasher,1,1,1,1,1,1,1,1,1,0,0,0.649544862,-0.200524035,1.489966546,-0.760654664,-4.004820286,2.407145926,Toxostoma_longirostre,6
Long-eared Owl,1,1,1,1,1,1,1,1,1,0,0,-2.419770593,-3.129496441,-1.74726507,-3.654101516,-5.98471527,-1.083194003,Asio_otus,6
Loggerhead Shrike,1,1,1,1,1,1,1,1,1,0,0,-2.666732882,-2.817142735,-2.521604412,-2.450750138,-3.009218873,-1.904223645,Lanius_ludovicianus,6
Long-tailed Duck,1,1,1,1,1,1,1,1,1,0,0,-0.441683026,-3.495344869,1.996770569,4.660976658,-0.673330154,11.452799,Clangula_hyemalis,6
Louisia Waterthrush,1,1,1,0,0,0,0,0,0,,,,,,,,,Parkesia_motacilla,2
MacGillivray's Warbler,1,1,1,0,0,0,0,0,0,,,,,,,,,Geothlypis_tolmiei,2
Magnificent Frigatebird,1,1,1,0,0,0,0,0,0,,,,,,,,,Fregata_magnificens,2
Rivoli's Hummingbird,0,0,0,0,0,0,0,0,0,,,,,,,,,Eugenes_fulgens,0
Magnolia Warbler,1,1,1,0,0,0,0,0,0,,,,,,,,,Setophaga_magnolia,2
Mallard,1,1,1,1,1,1,1,1,1,0,0,-0.998092374,-1.585790509,-0.538807443,-3.921428963,-5.178972375,-2.490669019,As_platyrhynchos,6
Mandarin Duck,1,1,1,0,0,0,0,0,0,,,,,,,,,Aix_galericulata,2
Manx Shearwater,1,1,1,0,0,0,0,0,0,,,,,,,,,Puffinus_puffinus,2
Marbled Godwit,1,1,1,1,1,1,1,1,1,0,0,-0.609856573,-2.032907836,0.863589482,-0.815681169,-5.356764843,5.35245619,Limosa_fedoa,6
Marbled Murrelet,1,1,1,1,1,1,1,1,1,0,0,-2.060911308,-3.530169284,-0.646957338,-0.605243233,-4.127945476,3.254798106,Brachyramphus_marmoratus,6
Marsh Wren,1,1,1,1,1,1,1,1,1,0,0,0.660149893,0.288733687,1.041938951,-1.079904444,-2.008486023,-0.072093139,Cistothorus_palustris,6
Masked Booby,1,1,1,0,0,0,0,0,0,,,,,,,,,Sula_dactylatra,2
Thick-billed Longspur,1,1,1,1,1,1,1,1,1,0,0,-4.495163953,-8.428640654,-0.658007569,-7.289351062,-21.68502314,6.860770696,Rhynchophanes_mccownii,6
McKay's Bunting,1,1,1,0,0,0,0,0,0,,,,,,,,,Plectrophex_hyperboreus,2
Merlin,1,1,1,1,1,1,1,1,1,0,0,2.843281294,2.544145222,3.14721889,0.513296564,-0.005018586,1.096829938,Falco_columbarius,6
Short-billed Gull,1,1,1,1,1,1,1,1,1,0,0.024169184,-2.894412132,-4.941095861,-1.366304837,-4.315648905,-6.227920864,-2.490192943,Larus_brachyrhynchus,6
Mexican Chickadee,1,1,0,0,0,0,0,0,0,,,,,,,,,Poecile_sclateri,1
Mexican Jay,1,1,1,1,1,1,1,1,1,0,0,-0.85116305,-1.636073606,-0.034328812,0.001851242,-2.638442238,2.73057783,Aphelocoma_wollweberi,6
Mitred Parakeet,1,1,1,0,0,0,0,0,0,,,,,,,,,Psittacara_mitratus,2
Monk Parakeet,1,1,1,1,1,1,1,1,1,0,0,16.12947726,12.84302668,20.11888206,0.027447338,-5.351513152,4.945751256,Myiopsitta_mochus,6
Montezuma Quail,1,1,1,1,1,1,1,1,1,0,0,-0.677104149,-3.301754461,2.493889965,-3.966355457,-13.51366275,8.534628313,Cyrtonyx_montezumae,6
Mottled Duck,1,1,1,1,1,1,1,1,1,0,0,0.581036119,-0.348857168,1.738663231,-1.109389378,-3.448003644,1.60467482,As_fulvigula,6
Mountain Bluebird,1,1,1,1,1,1,1,1,1,0,0,-0.366254443,-1.7109522,1.415095909,-0.245643564,-2.803410946,4.36080798,Sialia_currucoides,6
Mountain Chickadee,1,1,1,1,1,1,1,1,1,0,0,-0.022860059,-0.418196443,0.396789134,-1.020531791,-1.58716132,-0.312708822,Poecile_gambeli,6
Mourning Dove,1,1,1,1,1,1,1,1,1,0,0,0.580805286,0.398852684,0.747843621,-1.359559803,-1.888689636,-0.820165143,Zeida_macroura,6
Mountain Plover,1,1,1,0,0,0,0,0,0,,,,,,,,,Arhynchus_montanus,2
Mountain Quail,1,1,1,1,1,1,1,1,1,0,0,-3.113371505,-5.132909554,-1.089270343,-0.613389298,-5.99120891,7.999735271,Oreortyx_pictus,6
Muscovy Duck,1,1,1,1,1,1,1,1,1,0,0,27.98356112,14.75704473,50.56328375,6.364037709,1.658290807,31.33899018,Cairi_moschata,6
Mute Swan,1,1,1,1,1,1,1,1,1,0,0,4.389828265,3.341645082,5.143324706,2.609607106,0.727764198,4.839312106,Cygnus_olor,6
shville Warbler,1,1,1,1,1,1,1,1,1,0,0,-0.329218662,-1.551490894,0.826331083,2.460552325,-1.179824192,6.574721467,Leiothlypis_ruficapilla,6
Neotropic Cormorant,1,1,1,1,1,1,1,1,1,0,0,10.25074905,6.961311481,13.14396776,16.43070541,10.67354239,25.50068468,nnopterum_brasilianum,6
Northern Beardless-Tyrannulet,1,1,1,0,0,0,0,0,0,,,,,,,,,Camptostoma_imberbe,2
Northern Hawk Owl,1,1,1,1,1,1,1,1,1,0,0,-0.983599503,-3.241852724,2.064440309,-4.216112501,-10.04186398,1.112037932,Surnia_ulula,6
Northern Pygmy-Owl,1,1,1,1,1,1,1,1,1,0,0,-0.8227272,-1.823246427,0.070787019,-4.814099414,-6.834094616,-1.52806636,Glaucidium_gnoma,6
Northern Bobwhite,1,1,1,1,1,1,1,1,1,0,0,-6.110836364,-6.942408242,-5.00182258,-6.673494934,-10.49798164,-3.957365669,Colinus_virginianus,6
Northern Cardil,1,1,1,1,1,1,1,1,1,0,0,-0.461011037,-0.545355627,-0.381031657,-1.479995366,-1.707956023,-1.274659503,Cardilis_cardilis,6
Northern Flicker,1,1,1,1,1,1,1,1,1,0,0,-0.175475783,-0.339025117,-0.059021711,0.161180189,-0.116691229,0.608696287,Colaptes_auratus,6
Northern Fulmar,1,1,1,1,1,1,1,1,1,0,0,,,,,,,Fulmarus_glacialis,6
Northern Gannet,1,1,1,1,1,1,1,1,1,0,0,4.276418365,0.104756602,6.625319301,0.798293683,-13.43982153,7.491037315,Morus_bassanus,6
American Goshawk,1,1,1,1,1,1,1,1,1,0,0,0.330192027,-0.581503333,1.160415707,-6.018393506,-8.169065681,-3.629961771,Astur_atricapillus,6
Northern Harrier,1,1,1,1,1,1,1,1,1,0,0,-0.254205349,-0.442947575,-0.090777458,-1.920593737,-2.76972028,-1.444082689,Circus_hudsonius,6
Northern Mockingbird,1,1,1,1,1,1,1,1,1,0,0,-1.100627869,-1.203122988,-0.995933538,-3.390235577,-3.697580961,-3.084410494,Mimus_polyglottos,6
Northern Parula,1,1,1,1,1,1,1,1,1,0,0,1.665332504,0.995039053,2.35300393,3.682493101,1.287658394,5.999256977,Setophaga_america,6
Northern Pintail,1,1,1,1,1,1,1,1,1,0,0,-3.128398781,-4.293684506,-2.260148846,-0.414447346,-3.270844226,3.026168311,As_acuta,6
